,equivalence_class,Occurrence,Word count,total_docs
0,acid,1,2,1
1,action,4,4,4
2,addition,5,3,3
3,advantage,2,2,2
4,advice,3,1,1
5,agent,2,2,2
6,agitation,1,1,1
7,aid,1,1,1
8,air,4,3,3
9,albumin,1,1,1
10,allium,1,1,1
11,almonds,2,2,2
12,altitude,2,2,2
13,altitudes,1,1,1
14,aluminum,1,1,1
15,amazon lists,1,2,1
16,amount,9,7,7
17,amounts,1,1,1
18,analogy,1,1,1
19,anything,2,2,2
20,appearance,2,2,2
21,applewood,1,1,1
22,application,1,1,1
23,area,3,2,2
24,aromatics,1,1,1
25,arrowroot,2,2,2
26,artichoke,1,1,1
27,aspect,1,1,1
28,attach,1,1,1
29,attributes,1,1,1
30,bacon,1,1,1
31,bacterium,1,1,1
32,bag,1,1,1
33,bain-marie,4,1,1
34,baked-goods,1,1,1
35,baking,6,4,4
36,baking causes,1,2,1
37,baking soda,1,2,1
38,baking technique,1,2,1
39,barbecue,9,6,6
40,barbecue grills,1,2,1
41,barbecue sauce,2,2,1
42,barbecuing,4,2,2
43,bark,2,1,1
44,base,3,2,2
45,basket,1,1,1
46,baste,3,3,3
47,basted,1,1,1
48,baster,3,3,3
49,basting,2,1,1
50,batch,1,1,1
51,batter,5,1,1
52,bay,1,1,1
53,beans,2,2,2
54,beef,4,3,3
55,beef stew,1,2,1
56,beef stock,1,2,1
57,beer,3,2,2
58,beets,1,1,1
59,bengal potatoes mussels,1,3,1
60,beurre manié,1,2,1
61,beverage,1,1,1
62,biodiesel,1,1,1
63,bird,4,1,1
64,bit,3,2,2
65,bits,2,1,1
66,bitterness,1,1,1
67,blanch vegetables,2,4,2
68,blanched,5,3,3
69,blanching,6,2,2
70,blender,1,1,1
71,boiled water,1,2,1
72,boiler,1,1,1
73,boiling,1,1,1
74,boilingpoint,1,1,1
75,boilover,1,1,1
76,bolognese meat sauce,1,3,1
77,boneless,1,1,1
78,bottle,1,1,1
79,bottom,13,9,9
80,botulism,2,2,2
