,equivalence_class,Occurrence,Word count,tf,Document,IDF,tf-idf
0,bain-marie,4,1,0.19047619047619047,Bain Marie ,3.1780538303479458,0.605343586732942
1,baking,2,2,0.09523809523809523,Bain Marie ,2.4849066497880004,0.23665777617028574
2,baking,4,2,0.0851063829787234,Baking ,2.4849066497880004,0.21148141700323406
3,boilingpoint,1,1,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
4,construction limits,1,2,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
5,cook custard,1,2,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
6,cooktop,1,1,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
7,crusting,1,1,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
8,device,1,1,0.047619047619047616,Bain Marie ,2.4849066497880004,0.11832888808514287
9,device,1,1,0.0064516129032258064,Grilling ,2.4849066497880004,0.016031655805083873
10,double-boiler,1,1,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
11,double-walled oven pot,1,3,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
12,edge,1,1,0.047619047619047616,Bain Marie ,2.0794415416798357,0.09902102579427789
13,edge,1,1,0.0033333333333333335,Deep Frying ,2.0794415416798357,0.006931471805599453
14,edge,1,1,0.03225806451612903,Roasting ,2.0794415416798357,0.06707875940902695
15,lid,1,1,0.047619047619047616,Bain Marie ,1.3862943611198906,0.06601401719618526
16,lid,5,1,0.08196721311475409,Cockaigne ,1.3862943611198906,0.11363068533769594
17,lid,1,1,0.02040816326530612,Pressure Cooking ,1.3862943611198906,0.02829172165550797
18,lid,1,1,0.01639344262295082,Scalding ,1.3862943611198906,0.02272613706753919
19,lid,1,1,0.004310344827586207,Smoking ,1.3862943611198906,0.005975406728965045
20,lid,2,1,0.023809523809523808,Stewing ,1.3862943611198906,0.03300700859809263
21,oven,1,1,0.047619047619047616,Bain Marie ,1.0986122886681098,0.05231487088895761
22,oven,2,1,0.0425531914893617,Baking ,1.0986122886681098,0.04674945909225999
23,oven,1,1,0.02564102564102564,Clay Pot ,1.0986122886681098,0.028169545863284864
24,oven,1,1,0.0064516129032258064,Grilling ,1.0986122886681098,0.007087821217213612
25,oven,1,1,0.03225806451612903,Roasting ,1.0986122886681098,0.03543910608606805
26,oven,1,1,0.027777777777777776,Steaming ,1.0986122886681098,0.030517008018558604
27,oven,1,1,0.011904761904761904,Stewing ,1.0986122886681098,0.013078717722239402
28,oven,1,1,0.02631578947368421,Stir Frying ,1.0986122886681098,0.028910849701792363
29,oven temperature,1,2,0.047619047619047616,Bain Marie ,2.4849066497880004,0.11832888808514287
30,oven temperature,1,2,0.02564102564102564,Clay Pot ,2.4849066497880004,0.06371555512276923
31,oven-proof pots,1,2,0.047619047619047616,Bain Marie ,3.1780538303479458,0.1513358966832355
32,pot,3,1,0.14285714285714285,Bain Marie ,1.5686159179138452,0.22408798827340645
33,pot,3,1,0.07692307692307693,Clay Pot ,1.5686159179138452,0.12066276291644965
34,pot,1,1,0.02040816326530612,Pressure Cooking ,1.5686159179138452,0.03201256975334378
35,pot,1,1,0.01639344262295082,Scalding ,1.5686159179138452,0.025715015047767957
36,pot,1,1,0.014925373134328358,Sous Vide ,1.5686159179138452,0.023412177879311123
37,side,1,1,0.047619047619047616,Bain Marie ,2.0794415416798357,0.09902102579427789
38,side,1,1,0.01639344262295082,Cockaigne ,2.0794415416798357,0.034089205601308785
39,side,1,1,0.0064516129032258064,Grilling ,2.0794415416798357,0.013415751881805393
40,temperature,1,1,0.047619047619047616,Bain Marie ,0.4054651081081644,0.01930786229086497
41,temperature,5,2,0.046296296296296294,Boiling ,0.4054651081081644,0.018771532782785386
42,temperature,3,1,0.04918032786885246,Cockaigne ,0.4054651081081644,0.01994090695613923
43,temperature,7,3,0.023333333333333334,Deep Frying ,0.4054651081081644,0.009460852522523835
44,temperature,1,1,0.018518518518518517,Deglazing ,0.4054651081081644,0.007508613113114155
45,temperature,6,2,0.03870967741935484,Grilling ,0.4054651081081644,0.01569542353967088
46,temperature,2,1,0.044444444444444446,Poaching ,0.4054651081081644,0.018020671471473973
47,temperature,3,1,0.061224489795918366,Pressure Cooking ,0.4054651081081644,0.024824394373969248
48,temperature,3,2,0.0967741935483871,Roasting ,0.4054651081081644,0.0392385588491772
49,temperature,1,1,0.0136986301369863,Sauteing ,0.4054651081081644,0.0055543165494269095
50,temperature,7,4,0.11475409836065574,Scalding ,0.4054651081081644,0.04652878289765821
51,temperature,3,1,0.07894736842105263,Simmering ,0.4054651081081644,0.032010403271697185
52,temperature,3,4,0.01293103448275862,Smoking ,0.4054651081081644,0.005243083294502126
53,temperature,7,6,0.1044776119402985,Sous Vide ,0.4054651081081644,0.04236202622025598
54,temperature,1,1,0.011904761904761904,Stewing ,0.4054651081081644,0.004826965572716242
55,temperature,4,2,0.10810810810810811,Tempering ,0.4054651081081644,0.04383406574142318
56,use,2,1,0.09523809523809523,Bain Marie ,0.6131044728864089,0.058390902179657984
57,use,1,1,0.02127659574468085,Baking ,0.6131044728864089,0.013044776018859764
58,use,2,1,0.10526315789473684,Basting ,0.6131044728864089,0.06453731293541146
59,use,1,1,0.02631578947368421,Blanching ,0.6131044728864089,0.016134328233852864
60,use,2,1,0.018518518518518517,Boiling ,0.6131044728864089,0.011353786534933498
61,use,4,1,0.06557377049180328,Cockaigne ,0.6131044728864089,0.0402035719925514
62,use,18,1,0.06,Deep Frying ,0.6131044728864089,0.036786268373184536
63,use,2,1,0.012903225806451613,Grilling ,0.6131044728864089,0.007911025456598825
64,use,2,1,0.03278688524590164,Scalding ,0.6131044728864089,0.0201017859962757
65,use,1,1,0.02631578947368421,Simmering ,0.6131044728864089,0.016134328233852864
66,use,3,1,0.01293103448275862,Smoking ,0.6131044728864089,0.0079280750804277
67,use,1,1,0.011904761904761904,Stewing ,0.6131044728864089,0.007298862772457248
68,use,1,1,0.02631578947368421,Stir Frying ,0.6131044728864089,0.016134328233852864
69,walls,1,1,0.047619047619047616,Bain Marie ,2.4849066497880004,0.11832888808514287
70,walls,1,1,0.02564102564102564,Clay Pot ,2.4849066497880004,0.06371555512276923
71,water,4,1,0.19047619047619047,Bain Marie ,0.5389965007326869,0.1026660001395594
72,water,1,1,0.02127659574468085,Baking ,0.5389965007326869,0.011468010653886956
73,water,3,1,0.07894736842105263,Blanching ,0.5389965007326869,0.04255235532100159
74,water,22,1,0.2037037037037037,Boiling ,0.5389965007326869,0.10979558348258436
75,water,6,1,0.15384615384615385,Clay Pot ,0.5389965007326869,0.08292253857425953
76,water,6,1,0.02,Deep Frying ,0.5389965007326869,0.010779930014653738
77,water,1,1,0.045454545454545456,Frying ,0.5389965007326869,0.02449984094239486
78,water,6,1,0.13333333333333333,Poaching ,0.5389965007326869,0.07186620009769158
79,water,3,1,0.061224489795918366,Pressure Cooking ,0.5389965007326869,0.0329997857591441
80,water,1,1,0.0136986301369863,Sauteing ,0.5389965007326869,0.007383513708666943
81,water,1,1,0.01639344262295082,Scalding ,0.5389965007326869,0.008836008208732572
82,water,1,1,0.02631578947368421,Simmering ,0.5389965007326869,0.014184118440333866
83,water,5,1,0.021551724137931036,Smoking ,0.5389965007326869,0.011616303895101012
84,water,3,1,0.08333333333333333,Steaming ,0.5389965007326869,0.04491637506105724
85,advantage,1,1,0.02127659574468085,Baking ,2.4849066497880004,0.052870354250808514
86,advantage,1,1,0.004310344827586207,Smoking ,2.4849066497880004,0.010710804524948277
87,amount,1,1,0.02127659574468085,Baking ,1.2321436812926323,0.02621582300622622
88,amount,1,1,0.009259259259259259,Boiling ,1.2321436812926323,0.011408737789746595
89,amount,1,1,0.0033333333333333335,Deep Frying ,1.2321436812926323,0.0041071456043087744
90,amount,1,1,0.018518518518518517,Deglazing ,1.2321436812926323,0.02281747557949319
91,amount,1,1,0.022222222222222223,Poaching ,1.2321436812926323,0.02738097069539183
